GO_id,description,gene_ratio,bg_ratio,p_value,p_adjust,q_value,gene_ids,count
GO:0050804,modulation of chemical synaptic transmission,204/5559,448/18903,2.10048336519673e-13,7.13058826606259e-11,5.0283593468227595e-11,9066/999/27067/84062/9498/9454/9627/5590/6857/5217/5743/6507/22839/43/11252/6547/6855/869/1760/2906/5864/4885/1759/84687/4355/9693/5924/2771/6869/2043/7143/5906/4297/6543/1268/27253/148/2693/10755/2914/5582/468/7425/1742/6616/5786/54407/3351/27345/2752/6812/347733/1009/351/59283/152330/66000/6622/8573/774/8525/54915/5789/2047/2890/7804/9162/3745/55607/65018/808/22941/2898/6809/4218/25837/4204/10636/7532/3814/2897/22883/10458/627/8541/9378/9241/8398/5413/5071/10718/613/729956/5649/84628/3908/4763/2913/6376/477/321/10858/1906/4983/22999/2932/23085/3710/5594/59284/23373/1855/28964/84961/6722/6146/57616/6780/7533/9590/6533/5914/9581/9101/10769/1979/3688/1977/2895/89780/25769/114/3060/22854/27185/4889/1020/5579/2915/22871/5028/136/79772/9699/23236/2903/57537/1630/5575/2917/4311/594857/5534/23154/11178/6558/815/8898/84502/112755/9145/23394/56853/259232/5327/5532/26001/81539/590/5334/1143/2185/1959/25953/23025/54583/440279/84896/5530/409/152404/10814/1813/2900/9456/7476/22986/27020/673/127262/57465/134/2912/348980/26012/783/339302/1000/5581/2918/388336/26037/4914/6844,204
GO:0051960,regulation of nervous system development,201/5559,456/18903,1.2922921920448799e-11,2.7784282128964904e-09,1.95929633748278e-09,3475/5048/6792/999/27067/9175/10371/10512/284403/1739/4133/7520/5978/10683/57556/869/8140/79791/84079/5802/1954/2146/6009/3984/657/9693/4192/7422/27031/3280/57142/2043/7143/7852/79365/9572/23499/54567/2258/3949/79727/8553/2045/90865/56965/51176/4916/1382/11221/58190/27242/84630/26230/56288/26011/5457/5789/2047/118813/7074/7804/6497/4825/222223/6692/283659/10501/1499/4204/10636/55636/22883/9451/474/10458/627/6664/8408/84667/9378/2049/9241/1946/6092/5501/375790/5649/4763/4155/63925/10215/6376/51188/7869/5583/65078/7038/1495/23013/5362/5108/23011/6604/23405/1869/2737/6722/4124/3398/650/7533/80237/5914/10810/8650/4038/577/4076/6498/9856/347902/147381/58497/9353/6993/4851/3688/2895/7070/89780/27185/5584/5364/1020/2636/57611/2637/2915/22871/6091/1826/5916/54674/1605/1600/26259/2290/23768/4673/57698/1630/3556/4311/6281/347731/387804/1523/118738/30812/51265/57609/9682/1620/8898/8829/3091/23394/4168/9253/5803/6387/1949/65981/4988/7474/6794/9928/1959/4821/3397/6608/80031/10097/5530/5925/55502/222894/1030/1813/85458/140578/7476/27020/673/57465/10509/644943/4914/7052/91584/4067,201
GO:0033674,positive regulation of kinase activity,199/5559,496/18903,1.5595584048532e-07,7.45122348985419e-06,5.25446539366135e-06,572/5310/5606/493/65125/5590/2261/2046/2011/9175/1739/7520/285220/3320/5788/905/10464/7481/990/3326/8312/2146/51422/657/9693/595/975/7422/2690/1839/5618/2043/5906/6543/894/1958/1191/148/1908/1026/2258/376497/4294/1742/10451/5156/51347/2045/7057/54956/3480/4916/3491/805/6622/84630/7436/8525/5058/9344/2047/8817/3084/7804/653361/65018/808/57551/152110/253260/22853/51704/8754/238/3643/4296/685/8325/930/284254/205428/1436/2049/1946/8651/10718/5649/5478/5154/1654/100133941/406991/10178/3479/6556/2260/1906/1741/50507/1795/10985/29775/5155/994/2321/55011/10111/942/55704/9270/8795/1164/6385/650/3791/116986/10253/10006/5607/658/5170/23533/8792/2064/1969/5899/1956/89780/114/5207/7410/2264/133619/1020/3481/558/2915/6091/55890/1605/1600/2066/4869/3123/30849/801/4593/2263/387/998/5609/10961/7301/23411/23394/959/55294/8567/2246/7474/55233/6794/9928/2185/2069/7186/904/84962/51429/25778/84722/6885/3357/79866/7099/8654/8826/1813/143384/10461/284/1857/6283/134/8313/8941/10892/7189/9500/5587/5770/2050/2547/389658/4914/407017/283/6997/4067,199
GO:0060537,muscle tissue development,199/5559,422/18903,5.948801802001531e-15,3.8369771622909794e-12,2.7057655354156397e-12,56603/3475/3720/8538/7504/9734/5318/2817/50937/10362/4205/7049/10512/1739/5915/905/6548/7093/10521/7528/2010/688/2254/2138/10848/51231/2931/657/1655/55553/2735/9750/1432/653/7422/9421/90/4209/1063/1958/148/1948/3276/59269/54567/4654/7137/23135/80206/5156/5292/10021/51176/7168/4089/27063/26011/5457/3192/1525/2047/8324/7547/3084/6497/1465/861/7832/4000/8928/221496/93185/467/56999/10370/57462/7248/341405/1499/3516/2353/3344/55636/6664/4729/5339/10472/161882/29895/205428/9241/6331/7490/23764/5727/2248/196528/5079/6261/4763/6840/6262/406937/8913/3479/2296/9474/9150/4638/1906/50507/2253/10891/4618/6722/3398/607/1385/4488/4879/3164/6662/56261/650/6495/8854/5914/3142/9686/4851/3688/9472/60485/2697/89780/10611/8320/1020/3481/23414/6444/2303/2066/9242/1756/407975/89/30812/6416/2263/387/5307/998/10529/54715/1310/3776/6910/1832/4092/65009/8131/80208/857/5532/3131/4090/7474/3488/150572/7139/1959/6608/6926/54583/2317/64855/1134/5530/5925/196541/93649/409/9456/8470/201163/115509/2539/129446/8819/983/4534/30008/79647/1466/4703/283149/5465/5350,199
GO:0034329,cell junction assembly,197/5559,430/18903,2.6771352303271e-13,8.222629636004669e-11,5.798446782076889e-11,7414/999/27067/5318/81671/5586/51208/55737/9948/28513/23332/6624/60/1739/2239/79977/7481/43/6548/79629/421/869/51599/1845/9693/9379/23603/266727/7422/1007/2566/6801/5906/27253/2693/84612/6615/1948/79414/23499/2258/4301/23229/5786/10207/324/2045/5879/7057/4916/1009/351/51057/6622/1016/2561/221935/56288/9344/53942/2241/667/5457/5789/1010/2047/3084/50848/22941/8927/79778/1365/7248/1613/1499/55209/4204/1501/10015/22883/3728/26047/7368/627/5339/1003/9378/2049/71/1946/6092/27445/613/375790/84628/8861/9080/23077/5583/1495/140689/22998/6093/9448/119/4983/1307/1399/10391/6422/8777/1855/6722/10686/57669/9270/6385/6495/3791/222256/92359/4038/1828/577/347902/54828/6904/147381/1969/64405/23284/2823/2895/2697/7070/5578/89780/8321/10611/23122/5364/1020/2562/8642/22871/1826/653464/54674/2066/80139/23768/100132463/1364/3556/6281/347731/387804/11037/89/342184/4593/395/9748/4649/387/998/87/1005/6910/4897/3655/10580/8829/23394/4092/3551/857/3605/56940/7474/2185/84962/90102/1813/84623/2555/7476/201163/27020/2039/1000/83660/6712/55920/10082/4914/5175,197
GO:0007389,pattern specification process,195/5559,472/18903,1.5909705326606e-08,1.35023157048169e-06,9.52158403272361e-07,56603/57585/1767/58524/50937/8626/10512/5991/7481/84678/10683/7093/162/7528/8312/2138/56917/1954/23770/3200/8022/657/7704/2735/653/9421/50805/27031/3280/90/4297/8828/23314/79365/3229/6491/6615/8195/54567/3169/3911/56033/9645/8553/4212/30062/324/5100/7080/4091/55212/51176/4089/9980/221322/2719/472/219670/7547/23648/2114/6497/7832/8928/4760/2019/10370/5090/352909/26005/1499/3516/367/3684/10736/10655/4087/10409/57453/56998/84667/2131/54880/9241/7490/6092/5087/10718/5727/57801/5649/441478/8861/134701/9935/2297/80199/7092/57545/2296/5362/1906/6604/80173/5125/1399/6422/8701/3203/2737/2253/51684/4618/5992/6722/57669/10297/4488/29880/27019/80114/7849/650/6939/6495/8854/4038/10220/54806/10006/10660/658/4851/6935/343930/89780/8320/10252/27152/8642/2637/6091/153572/5916/2290/2303/2066/4762/64853/55182/79659/9289/5591/2263/7479/6910/1947/8829/3091/57534/65009/120237/2246/4090/7474/7475/79084/92/1959/7471/4821/6608/6926/6434/22823/55502/286204/6911/7545/7476/57728/168507/6493/284086/57216/163589/123016/8313/55130/2186/4300/25914/63917/10194/6997,195
GO:0030900,forebrain development,195/5559,383/18903,4.25926806282e-19,9.15742633506385e-16,6.45764817524454e-16,572/170302/5048/10460/999/1767/493/50937/3340/4854/10371/284403/5915/84678/1943/140679/333/1021/4967/2146/26468/8022/657/57178/84687/9693/4192/2735/266727/3280/57142/7143/6513/8828/7852/3624/6491/8195/64919/482/2258/57688/3337/54407/30062/7080/51176/3480/351/66000/5457/7547/3084/7804/6497/2618/10642/7832/2909/4760/23353/7248/83696/10501/1499/3516/153241/5881/3684/238/55636/474/26047/664/2131/1436/2049/9241/6331/6092/5453/10718/3014/5649/5079/4763/63925/5455/317762/10215/477/65078/23224/5108/4983/2932/1399/1869/2737/2253/5992/221692/6722/3398/1385/317/4852/50674/650/93986/8854/5914/8650/6658/9353/1956/4851/6935/89780/431707/10092/27185/8320/836/167153/1020/558/2637/25942/6091/7314/653464/84750/1600/2290/2066/29072/23236/5454/79659/79633/9289/55236/2263/387/5307/7515/56949/546/64211/3912/7301/114327/8829/3091/6299/9253/1749/6387/6506/3736/7474/9928/7471/6608/57045/63827/23287/6926/55681/6434/81853/8893/57721/79648/6867/1813/9638/84623/85458/7545/4929/7476/3361/123016/3251/1398/166614/1000/8941/2523/25987/5592/79048/91584,195
GO:0044772,mitotic cell cycle phase transition,193/5559,473/18903,5.67293555300707e-08,3.2195694021507e-06,2.27038096886058e-06,996/55904/5310/8193/672/10460/1112/23332/60/1739/1785/5243/51433/990/997/84861/25793/5127/79791/2935/8766/1021/2146/27338/80279/6603/84687/595/25906/90/8289/1063/894/2103/1843/3624/11130/6491/9587/1026/55795/54850/6597/1032/10763/4678/324/51347/1019/84101/10457/9314/55755/580/901/351/83540/2029/163859/805/58190/64839/472/9344/2059/678/9577/808/57551/899/144455/7465/10263/4204/5569/8462/1263/9024/10106/55844/348654/1104/5890/4582/5087/677/126520/196528/1654/100131816/10083/50484/5218/9150/586/6605/51412/6604/51720/7023/51322/994/1869/11040/5934/51343/29997/9275/605/10111/3398/10459/1017/1164/3306/26057/902/301/79616/55336/23476/10769/1956/3688/1977/9510/286053/6154/23122/11073/1020/51339/29117/8738/25942/8493/284001/51379/55367/4762/23236/23194/135458/801/23137/131405/5591/54443/6683/23026/7175/11178/815/55743/79960/8555/2068/29086/54619/26271/9928/54617/55274/27183/57695/81853/5530/6601/5925/90381/51514/10217/1030/58493/138151/55835/143384/9184/7508/79831/8450/7015/9833/983/6241/27085/6599/64859/55920/11200/7027/8110/168448,193
GO:0045785,positive regulation of cell adhesion,193/5559,484/18903,3.96197411183932e-07,1.57745265563973e-05,1.11239052223897e-05,572/9265/5329/960/10076/8943/5590/7030/10272/8440/7037/60/1785/5788/3956/55612/284217/10562/10725/259307/64926/7297/3718/5296/1021/81704/7016/6461/57178/6603/7704/4192/975/7422/604/3280/3485/2043/8289/2309/10808/57580/6659/1948/8744/6237/6597/3169/4301/54453/10451/2113/948/5879/3685/51176/6541/7168/463/3491/11221/9580/4651/472/288/9223/50848/861/51043/7412/3600/10085/10370/7248/6809/8754/5881/9655/84978/10524/5970/3728/6666/5781/1960/91663/8651/196528/3908/3117/2316/8861/100133941/406991/3675/6376/3479/6093/9448/55679/6605/51412/3566/55604/6604/2932/1307/80173/1399/11078/7494/5155/1511/6422/2737/1842/942/57669/9270/4852/6385/3791/6370/5914/84034/8546/301/3142/22915/2064/27/3329/51144/7402/51571/7070/5578/89780/27185/2199/133584/29117/3481/1605/2303/5034/2650/3123/6281/9289/342184/864/5588/387/998/1947/3912/1725/8829/4092/959/9780/29108/857/6387/1949/7474/2185/5105/55274/59067/5530/6601/56477/284/201163/673/2039/1398/84807/283234/399/5581/10892/30008/6599/2523/7189/3146/1604/25975/7052/4067,193
GO:1903829,positive regulation of protein localization,192/5559,451/18903,1.2462209489509602e-09,1.60762502414673e-07,1.13366752008781e-07,1080/572/2696/999/9696/493/4804/5590/2182/55737/7037/5743/1739/7107/2037/3320/65985/5019/55696/10075/43/7430/3326/2010/51366/3783/4946/27113/5296/2931/7016/80279/84687/975/9847/1432/57142/27230/4035/6659/54795/7376/55107/1742/4628/9695/324/79899/2752/4836/56262/1025/51496/9520/55135/342667/7226/25874/55204/27063/6934/288/55691/9531/25921/3745/65018/4825/23379/79778/6809/8754/153241/5780/3684/81603/9451/3728/1263/51574/57628/8398/222546/5071/8660/5478/399687/2316/10497/6526/6721/84455/10399/3675/57787/10178/27032/3479/5583/51768/3843/8692/5108/2932/29775/5494/10391/208/2737/2645/51104/1855/5007/5467/55754/55704/23184/9270/5357/2181/7429/2770/10155/4038/10541/4926/57707/5170/54828/22994/2064/1969/26154/1956/3688/89780/114/5584/2150/1020/10576/23255/2810/2066/4947/4869/161291/3123/65267/65992/919/79567/7175/10347/7251/55763/10580/3091/5532/7323/55294/5715/10802/7474/6794/29899/6608/81926/54552/7099/9585/6769/4478/22948/55835/51128/7545/654/7476/27020/2035/80149/7015/85459/983/5581/3985/5587/9860/283/6844/5175,192
