peak_id,chr,start,end,width,conc,conc_ctrl,conc_treat,fold,p_value,FDR,annotation,gene_chr,gene_start,gene_end,gene_len,gene_strand,gene_id,transcript_id,distance_to_tss
24,chr14,77604425,77604553,129,6.388884,7.097643,4.937228,1.840511,1.9947694274540402e-14,3.92099106115475e-11,"Intron (ENST00000216484.7/ENSG00000100596.8, intron 1 of 11)",14,77578766,77597351,18586,2,ENSG00000100596.8,ENST00000557566.1,-7074
25,chr19,48399494,48401068,1575,6.180102,5.027798,6.812457,-1.576102,2.0659411677809102e-14,3.92099106115475e-11,"Intron (ENST00000263269.4/ENSG00000105464.4, intron 3 of 13)",19,48393668,48444931,51264,1,ENSG00000105464.4,ENST00000263269.4,5826
26,chr19,2474597,2480171,5575,7.656924,6.594431,8.26213,-1.473632,4.28204304162599e-14,7.811258643268189e-11,Promoter (<=1kb),19,2476122,2476638,517,1,ENSG00000099860.9,ENST00000586759.1,0
27,chr9,129173766,129176591,2826,6.698418,5.695207,7.284449,-1.416432,4.48630789959228e-14,7.811258643268189e-11,Promoter (<=1kb),9,129175807,129176662,856,1,ENSG00000204055.5,ENST00000599172.3,0
28,chr22,45006785,45008865,2081,6.153435,4.927865,6.806377,-1.623814,4.6875443326604e-14,7.811258643268189e-11,Promoter (<=1kb),22,44913916,45008986,95071,2,ENSG00000056487.16,ENST00000420689.1,121
29,chr1,8877893,8879815,1923,7.500159,6.53274,8.074096,-1.379257,4.77420545976179e-14,7.811258643268189e-11,Promoter (<=1kb),1,8861000,8878686,17687,2,ENSG00000074800.16,ENST00000234590.10,0
30,chr19,7870456,7872764,2309,7.215044,6.204247,7.803588,-1.417194,6.76063284401457e-14,1.06926169060934e-10,Promoter (<=1kb),19,7870561,7871296,736,1,ENSG00000268120.1,ENST00000597156.1,0
31,chr2,231709150,231711277,2128,6.280091,5.118762,6.915056,-1.557411,1.07390787114142e-13,1.63739754336109e-10,Promoter (<=1kb),2,231709781,231712856,3076,1,ENSG00000187514.17,ENST00000410064.5,0
32,chr19,7643429,7644608,1180,5.847429,4.246796,6.587509,-1.908981,1.1042977867887999e-13,1.63739754336109e-10,Promoter (<=1kb),19,7644349,7646438,2090,1,ENSG00000076944.18,ENST00000593854.5,0
33,chr15,63047093,63049440,2348,7.518014,6.640999,8.059536,-1.300218,1.21448304268486e-13,1.74620580028216e-10,Promoter (<=1kb),15,63048169,63071021,22853,1,ENSG00000140416.24,ENST00000651704.1,0
34,chr17,7021862,7024294,2433,6.932827,6.005969,7.492561,-1.336784,1.32291477148352e-13,1.84616647286324e-10,Promoter (<=1kb),17,7023050,7029644,6595,1,ENSG00000161940.11,ENST00000293805.10,0
35,chr4,185401117,185402270,1154,5.189152,0.520097,6.160515,-5.386056,1.95157637794253e-13,2.60752637746377e-10,"Exon (ENST00000509180.1/ENSG00000109775.11, exon 6 of 6)",4,185400315,185406168,5854,2,ENSG00000109775.11,ENST00000510206.5,3898
36,chr11,63838251,63839661,1411,6.513598,5.478686,7.110012,-1.440444,1.97839634101956e-13,2.60752637746377e-10,Promoter (<=1kb),11,63838928,63911019,72092,1,ENSG00000072518.22,ENST00000377810.8,0
37,chr4,112644787,112646421,1635,6.54838,7.181229,5.394377,1.503182,2.2212094013976899e-13,2.84843091020318e-10,Promoter (<=1kb),4,112645628,112646948,1321,1,ENSG00000174720.18,ENST00000694902.1,0
38,chr12,22489677,22489801,125,5.774981,6.442048,4.496252,1.708463,2.2847310740569997e-13,2.85278736846991e-10,Promoter (<=1kb),12,22484338,22490182,5845,2,ENSG00000111731.13,ENST00000542768.1,381
39,chr18,23435116,23435236,121,6.330809,7.328669,0.0,8.233258,3.08767985445711e-13,3.6627151569652004e-10,Promoter (2-3kb),18,23356630,23437853,81224,2,ENSG00000134490.14,ENST00000577531.5,2617
40,chr14,103333358,103335366,2009,7.050488,6.196047,7.583474,-1.259741,3.08777200890676e-13,3.6627151569652004e-10,Promoter (<=1kb),14,103333544,103335844,2301,1,ENSG00000100664.11,ENST00000560877.5,0
41,chr19,18006708,18008568,1861,6.345972,5.275192,6.953777,-1.476757,3.62491832320193e-13,4.19500303900695e-10,Promoter (<=1kb),19,18007182,18014088,6907,1,ENSG00000105643.11,ENST00000595712.6,0
42,chr19,19600155,19600275,121,7.453881,8.375433,4.213945,3.856746,4.06909099878546e-13,4.59691023119934e-10,"Intron (ENST00000557978.6/ENSG00000105717.14, intron 1 of 7)",19,19606350,19608660,2311,1,ENSG00000259242.2,ENST00000559614.2,-6075
43,chr19,15451913,15453379,1467,6.796176,5.824055,7.371724,-1.366618,4.19190511442936e-13,4.62552357835917e-10,Promoter (<=1kb),19,15451624,15454375,2752,2,ENSG00000105122.13,ENST00000609274.5,996
44,chr19,14758585,14759604,1020,5.781905,4.412289,6.471656,-1.716551,5.96493353556844e-13,6.43236741808298e-10,"Intron (ENST00000315576.8/ENSG00000127507.18, intron 11 of 20)",19,14743764,14772374,28611,2,ENSG00000127507.18,ENST00000595208.5,12770
45,chr11,1388948,1390471,1524,6.932798,6.030546,7.483648,-1.304288,6.96688004215029e-13,7.34587831644326e-10,Promoter (<=1kb),11,1389899,1462685,72787,1,ENSG00000174672.16,ENST00000308219.13,0
46,chr7,101172736,101174848,2113,6.034109,4.826474,6.682135,-1.58264,9.13209772275775e-13,9.41956027716108e-10,5' UTR,7,101173364,101179236,5873,2,ENSG00000167011.9,ENST00000444446.1,4388
47,chr1,42923762,42928707,4946,8.966881,8.022744,9.532731,-1.348205,1.0110592774930399e-12,9.86913015445453e-10,Promoter (<=1kb),1,42924460,42925849,1390,1,ENSG00000288955.1,ENST00000691915.1,0
48,chr2,119111179,119113633,2455,6.818949,5.832643,7.399317,-1.372502,1.0159560896925299e-12,9.86913015445453e-10,Distal Intergenic,2,119156243,119158751,2509,2,ENSG00000144119.4,ENST00000272520.4,45118
49,chr19,6475395,6477285,1891,6.907814,6.042252,7.445028,-1.263862,1.01919443931941e-12,9.86913015445453e-10,Promoter (<=1kb),19,6467207,6476246,9040,2,ENSG00000205744.10,ENST00000590444.5,0
50,chr6,9455777,9456831,1055,5.291106,6.027304,3.709974,1.861455,1.1191333312794998e-12,1.06201276605099e-09,Distal Intergenic,6,9596110,9599793,3684,2,ENSG00000181355.21,ENST00000469421.5,142962
51,chr12,109880053,109882016,1964,6.835454,5.985205,7.366834,-1.248557,1.31067417885197e-12,1.21938957721899e-09,Promoter (<=1kb),12,109850945,109880541,29597,2,ENSG00000139433.11,ENST00000318348.9,0
52,chr19,1747136,1748613,1478,5.42274,3.699365,6.185863,-1.957942,2.05307935444252e-12,1.8520820638033e-09,Promoter (<=1kb),19,1748056,1748741,686,1,ENSG00000267073.1,ENST00000586506.1,0
53,chr5,107678012,107678129,118,4.970713,5.970713,0.0,7.881276,2.0687984610853e-12,1.8520820638033e-09,Distal Intergenic,5,107376894,107670937,294044,2,ENSG00000184349.14,ENST00000333274.11,-7075
54,chr5,14035626,14037347,1722,6.749162,5.752511,7.333007,-1.382835,2.3123304042716798e-12,2.03176764855338e-09,Distal Intergenic,5,13690328,14011818,321491,2,ENSG00000039139.11,ENST00000681290.1,-23808
55,chr19,679654,681404,1751,7.06391,6.179004,7.608372,-1.274635,2.4784455545797098e-12,2.13813244861269e-09,Promoter (<=1kb),19,680034,681413,1380,1,ENSG00000070404.10,ENST00000589185.2,0
56,chr19,43667951,43669626,1676,7.892527,7.05403,8.419372,-1.230516,2.62106442287451e-12,2.16355658817347e-09,Promoter (<=1kb),19,43652226,43668320,16095,2,ENSG00000011422.12,ENST00000599892.5,0
57,chr17,68196459,68200175,3717,6.912036,5.978761,7.474053,-1.318785,2.6281315286709897e-12,2.16355658817347e-09,Promoter (<=1kb),17,68198921,68199596,676,1,ENSG00000267472.1,ENST00000589904.1,0
58,chr1,85583409,85584941,1533,5.484473,3.998451,6.200809,-1.799274,2.6447117289255897e-12,2.16355658817347e-09,Promoter (1-2kb),1,85581463,85583930,2468,1,ENSG00000142871.18,ENST00000675083.1,1946
59,chr19,49641548,49642681,1134,6.717732,5.738038,7.295862,-1.357606,2.8059620820425898e-12,2.25656421811452e-09,Promoter (<=1kb),19,49642209,49658642,16434,1,ENSG00000126461.15,ENST00000360565.8,0
60,chr7,128782841,128783856,1016,6.104681,6.706122,5.054086,1.414605,3.40128994092306e-12,2.6897400852819604e-09,Distal Intergenic,7,128790757,128801250,10494,1,ENSG00000128596.17,ENST00000485998.6,-6901
61,chr7,2874079,2874668,590,5.374101,6.116381,3.762268,1.810555,4.27923545116708e-12,3.3285436669996e-09,Distal Intergenic,7,2728105,2844308,116204,2,ENSG00000146535.14,ENST00000275364.8,-29771
62,chr16,2150537,2152094,1558,5.411687,6.126835,3.93112,1.758838,5.7422406107527295e-12,4.3944811693386405e-09,Promoter (<=1kb),16,2151576,2153376,1801,1,ENSG00000167964.13,ENST00000567145.2,0
63,chr9,95510272,95511660,1389,6.868022,6.023992,7.397009,-1.226041,6.15313543573992e-12,4.63419000246012e-09,Promoter (1-2kb),9,95442980,95509266,66287,2,ENSG00000185920.18,ENST00000331920.11,-1006
64,chr11,694463,696285,1823,7.256281,6.389331,7.79402,-1.246431,6.74780297945519e-12,5.00265243389359e-09,Promoter (<=1kb),11,644233,695222,50990,2,ENSG00000177030.19,ENST00000382409.4,0
65,chr19,50657786,50659584,1799,7.761723,6.920044,8.2898,-1.225073,7.60631779857829e-12,5.5052015934590305e-09,Promoter (<=1kb),19,50658496,50659310,815,1,ENSG00000235034.7,ENST00000490451.1,0
66,chr1,28510357,28512423,2067,5.114751,5.869773,3.435951,1.89954,7.657715924133709e-12,5.5052015934590305e-09,Promoter (<=1kb),1,28510077,28536026,25950,1,ENSG00000180198.17,ENST00000419074.5,280
67,chr10,58963570,58964155,586,5.407484,6.099159,4.029824,1.683373,7.802479988015e-12,5.52555329061695e-09,Distal Intergenic,10,58999482,59066396,66915,1,ENSG00000237949.3,ENST00000660389.1,-35327
68,chr11,61868191,61870086,1896,5.057901,5.811292,3.387883,1.876225,7.97884152513597e-12,5.5673540100684e-09,Distal Intergenic,11,61861973,61865319,3347,1,ENSG00000134824.14,ENST00000522359.2,6218
69,chr19,11420893,11422942,2050,6.873242,6.002639,7.412357,-1.253005,8.26037362560904e-12,5.68026388098403e-09,Promoter (1-2kb),19,11394325,11419328,25004,2,ENSG00000205517.13,ENST00000393423.7,-1565
70,chr17,81511857,81515444,3588,7.072219,6.294948,7.57458,-1.166421,8.55161971097036e-12,5.796532172087451e-09,Promoter (<=1kb),17,81509413,81514629,5217,2,ENSG00000184009.13,ENST00000681052.1,0
71,chr15,52744854,52746135,1282,5.963772,4.875177,6.577097,-1.480845,9.18225530090726e-12,6.136333091795041e-09,Distal Intergenic,15,52611625,52709817,98193,2,ENSG00000047346.13,ENST00000561490.5,-35037
72,chr14,99663762,99664802,1041,5.456031,6.165021,4.003343,1.725727,9.763773178699609e-12,6.43432652476304e-09,"Intron (ENST00000330710.10/ENSG00000182218.10, intron 6 of 8)",14,99645143,99669277,24135,1,ENSG00000182218.10,ENST00000357223.2,18619
73,chr19,49442068,49444089,2022,7.938344,7.152461,8.444237,-1.167897,1.3706218458410199e-11,8.800338247039251e-09,Promoter (<=1kb),19,49429986,49442360,12375,2,ENSG00000104888.10,ENST00000600601.5,0
74,chr19,16822944,16823494,551,4.83822,2.472205,5.691033,-2.360879,1.3725025929036098e-11,8.800338247039251e-09,Distal Intergenic,19,16829398,16880349,50952,1,ENSG00000127511.10,ENST00000248054.10,-5904
75,chr19,10870402,10872070,1669,7.236103,6.241822,7.819154,-1.366327,1.4204355829302299e-11,8.986243671849821e-09,Promoter (<=1kb),19,10871553,10923075,51523,1,ENSG00000142453.12,ENST00000327064.9,0
76,chr21,8212945,8213539,595,6.007757,4.861647,6.638309,-1.491728,1.56554191770013e-11,9.773925383031021e-09,Promoter (<=1kb),21,8212572,8212724,153,1,ENSG00000278233.1,ENST00000612463.1,373
77,chr16,84013667,84014832,1166,7.839881,6.938146,8.390543,-1.281456,2.1690673498327e-11,1.33659620279041e-08,Promoter (1-2kb),16,84009667,84016756,7090,2,ENSG00000166558.11,ENST00000568003.1,1924
78,chr12,7583883,7584631,749,4.994936,2.7191,5.837719,-2.262375,2.2045823353432498e-11,1.34106439291495e-08,Distal Intergenic,12,7566369,7567382,1014,1,ENSG00000235868.3,ENST00000509325.1,17514
79,chr5,78611140,78611725,586,5.631597,6.267832,4.465848,1.536154,2.2781917874857596e-11,1.36829929028638e-08,"Intron (ENST00000380345.7/ENSG00000145685.14, intron 2 of 4)",5,78510039,78590192,80154,2,ENSG00000145685.14,ENST00000510949.1,-20948
80,chr17,79838590,79840294,1705,6.236879,5.296231,6.801502,-1.323136,2.58929949832218e-11,1.52665245898368e-08,Promoter (<=1kb),17,79833156,79839440,6285,2,ENSG00000141582.15,ENST00000269397.9,0
81,chr17,41688375,41690122,1748,7.748791,6.950769,8.259614,-1.175489,2.6061972934091596e-11,1.52665245898368e-08,Promoter (<=1kb),17,41688885,41691646,2762,1,ENSG00000173812.11,ENST00000462917.1,0
82,chr14,56293265,56293375,111,4.517756,5.335814,2.440527,2.261976,3.02950165335527e-11,1.75297310302928e-08,"Intron (ENST00000267460.9/ENSG00000139946.11, intron 5 of 5)",14,56305838,56306394,557,1,ENSG00000275569.1,ENST00000612106.1,-12463
83,chr19,55653341,55655700,2360,7.253531,6.482119,7.753472,-1.14873,3.47794981828301e-11,1.98821401178183e-08,Promoter (<=1kb),19,55654146,55674715,20570,1,ENSG00000063244.14,ENST00000450554.6,0
84,chr19,11504851,11506434,1584,7.189157,6.405216,7.694258,-1.153636,3.6609976607774195e-11,2.06794067867342e-08,Promoter (<=1kb),19,11483429,11505839,22411,2,ENSG00000161914.10,ENST00000293771.10,0
85,chr19,39408399,39410532,2134,5.944745,4.590586,6.630764,-1.647133,3.7423793382356494e-11,2.08904017459535e-08,Promoter (<=1kb),19,39409623,39409678,56,2,ENSG00000266559.1,ENST00000581459.1,0
86,chr20,35615669,35618214,2546,7.705441,6.891744,8.222544,-1.18794,3.9620005579315196e-11,2.18489070371302e-08,Promoter (<=1kb),20,35615829,35621094,5266,1,ENSG00000061656.11,ENST00000374273.8,0
87,chr5,134539638,134540408,771,5.636531,6.304266,4.355226,1.554804,4.0061855341222594e-11,2.18489070371302e-08,"Intron (ENST00000431355.2/ENSG00000043143.22, intron 3 of 8)",5,134535858,134579475,43618,1,ENSG00000043143.22,ENST00000430087.2,3780
88,chr20,49289833,49291171,1339,4.819603,5.620282,2.865484,2.025707,4.8538286377984796e-11,2.61709615007116e-08,Promoter (<=1kb),20,49290888,49295738,4851,1,ENSG00000177410.13,ENST00000618800.1,0
89,chr17,63842178,63843483,1306,6.817603,5.958961,7.35219,-1.222432,5.23269665444529e-11,2.78967405460809e-08,Promoter (<=1kb),17,63832081,63842685,10605,2,ENSG00000108604.18,ENST00000448276.7,0
90,chr7,150990401,150991498,1098,5.445359,4.038637,6.143873,-1.680648,5.4874158867532696e-11,2.86822286595035e-08,Promoter (<=1kb),7,150991017,151014588,23572,1,ENSG00000164867.11,ENST00000297494.8,0
91,chr17,82228272,82232551,4280,7.294446,6.441561,7.826836,-1.219334,5.5009332490617496e-11,2.86822286595035e-08,Promoter (<=1kb),17,82228397,82240086,11690,1,ENSG00000141526.18,ENST00000584689.6,0
92,chr8,88591710,88592648,939,5.647209,4.451894,6.291812,-1.535854,6.44954515072616e-11,3.32628280773538e-08,"Intron (ENST00000658283.1/ENSG00000253553.9, intron 3 of 6)",8,88542728,88887323,344596,1,ENSG00000253553.9,ENST00000649573.1,48982
93,chr7,101161711,101168462,6752,8.592716,7.524747,9.199642,-1.428902,7.165289316484439e-11,3.65568438159735e-08,Promoter (<=1kb),7,101162509,101165569,3061,2,ENSG00000128564.8,ENST00000249330.3,0
94,chr19,703337,704704,1368,6.242709,5.331113,6.796958,-1.287736,7.4220172832162e-11,3.74638166014938e-08,Distal Intergenic,19,708935,748329,39395,1,ENSG00000099864.18,ENST00000338448.10,-4231
95,chr19,18278202,18282935,4734,8.426213,7.411175,9.016154,-1.38174,7.909729359998769e-11,3.95053514392865e-08,Promoter (<=1kb),19,18279694,18281622,1929,2,ENSG00000130522.6,ENST00000252818.5,0
96,chr19,1863202,1865303,2102,7.259776,6.501789,7.754118,-1.125997,8.4740220218846e-11,4.18828538431646e-08,Promoter (<=1kb),19,1852399,1863497,11099,2,ENSG00000129911.9,ENST00000541015.5,0
97,chr19,10291252,10293355,2104,6.81081,5.818956,7.393047,-1.340831,9.160857119440089e-11,4.48107575879581e-08,Promoter (<=1kb),19,10291473,10296776,5304,1,ENSG00000105376.5,ENST00000586480.1,0
98,chr19,35931099,35932893,1795,7.588447,6.802413,8.094403,-1.156909,9.663462986164469e-11,4.67869379354624e-08,Promoter (2-3kb),19,35935358,35936792,1435,1,ENSG00000126243.9,ENST00000585876.1,-2465
99,chr17,82095303,82099607,4305,7.787352,6.922755,8.3242,-1.233181,1.00102421123572e-10,4.79763603784974e-08,Promoter (<=1kb),17,82078338,82098236,19899,2,ENSG00000169710.9,ENST00000306749.4,0
100,chr15,72943494,72943603,110,4.32514,5.32514,0.0,7.256644,1.15063501600823e-10,5.45953302395585e-08,Distal Intergenic,15,72899399,72900260,862,2,ENSG00000259259.1,ENST00000560329.1,-43234
101,chr16,29876995,29878286,1292,7.039897,6.265553,7.541051,-1.136254,1.29111683773472e-10,6.06134537709517e-08,"Exon (ENST00000346932.9/ENSG00000174938.15, exon 9 of 16)",16,29876854,29886019,9166,2,ENSG00000174938.15,ENST00000568407.2,7733
102,chr1,1063294,1064876,1583,5.964023,4.789328,6.602812,-1.487169,1.31391293579122e-10,6.06134537709517e-08,Promoter (<=1kb),1,1064495,1066274,1780,1,ENSG00000291156.1,ENST00000433695.1,0
103,chr19,14517553,14519058,1506,7.079046,6.245335,7.604029,-1.196354,1.31579534193391e-10,6.06134537709517e-08,Promoter (<=1kb),19,14514769,14517569,2801,2,ENSG00000132002.9,ENST00000676577.1,0
104,chr17,7650075,7652515,2441,6.885527,6.145528,7.372252,-1.117319,1.45286898161587e-10,6.62843533074132e-08,Promoter (<=1kb),17,7650926,7657770,6845,1,ENSG00000129244.9,ENST00000250111.9,0
105,chr22,20079720,20080710,991,6.162408,5.253842,6.715558,-1.288081,1.59056437057171e-10,7.18753316713206e-08,Promoter (<=1kb),22,20080221,20111872,31652,1,ENSG00000128191.17,ENST00000704820.1,0
106,chr12,111404312,111406376,2065,7.434648,6.636223,7.945634,-1.162846,1.61662596510976e-10,7.23638384835168e-08,Promoter (<=1kb),12,111405923,111451623,45701,1,ENSG00000111252.11,ENST00000341259.7,0
107,chr19,10352371,10354572,2202,8.001717,7.291541,8.475509,-1.075723,1.7862933852192202e-10,7.92112603195156e-08,Promoter (<=1kb),19,10350533,10353256,2724,2,ENSG00000105397.15,ENST00000530220.1,0
108,chr17,17494928,17497323,2396,7.283193,6.569467,7.758544,-1.077259,1.89987752099239e-10,8.34679524222659e-08,Promoter (<=1kb),17,17494437,17496395,1959,2,ENSG00000108551.5,ENST00000225688.4,0
109,chr2,148644024,148645974,1951,7.13084,6.392791,7.616731,-1.100284,1.96893134348757e-10,8.57081232897232e-08,Promoter (<=1kb),2,148644440,148754020,109581,1,ENSG00000135999.12,ENST00000457184.5,0
110,chr19,6752362,6754182,1821,7.403362,6.685209,7.88065,-1.082183,2.18498216996067e-10,9.30205786590951e-08,Promoter (<=1kb),19,6748293,6751467,3175,2,ENSG00000269680.1,ENST00000594056.1,-895
111,chr17,7833441,7837918,4478,8.340762,7.541934,8.85191,-1.16566,2.18529965205079e-10,9.30205786590951e-08,Promoter (<=1kb),17,7834217,7854796,20580,1,ENSG00000132510.11,ENST00000448097.7,0
112,chr19,796543,798064,1522,7.225155,6.472114,7.717417,-1.120046,2.20732568902956e-10,9.30205786590951e-08,Promoter (<=1kb),19,797075,812327,15253,1,ENSG00000011304.22,ENST00000635647.1,0
113,chr6,98103127,98103248,122,7.070271,7.64581,6.098181,1.365178,2.215335817838e-10,9.30205786590951e-08,"Intron (ENST00000669069.1/ENSG00000271860.9, intron 10 of 11)",6,98179499,98179832,334,2,ENSG00000220505.2,ENST00000403144.2,76584
114,chr17,17835779,17837987,2209,6.692126,5.879636,7.208749,-1.182133,2.29979316938471e-10,9.55298384021812e-08,Promoter (<=1kb),17,17811334,17836986,25653,2,ENSG00000072310.18,ENST00000261646.11,0
115,chr10,131635395,131636323,929,4.7622,2.536525,5.599095,-2.132625,2.3153623790783202e-10,9.55298384021812e-08,Distal Intergenic,10,131776386,131795277,18892,1,ENSG00000286295.1,ENST00000666576.1,-140063
116,chr11,62850416,62852301,1886,5.812259,6.421257,4.737651,1.39506,2.49189116776568e-10,1.01926941489781e-07,Promoter (<=1kb),11,62852910,62853035,126,2,ENSG00000277194.1,ENST00000384756.1,734
117,chr17,32876204,32877675,1472,6.484784,5.672416,7.001357,-1.179327,2.5332938999980103e-10,1.02734811082996e-07,Promoter (<=1kb),17,32492522,32877124,384603,2,ENSG00000176658.17,ENST00000318217.10,0
118,chr6,16761292,16762985,1694,6.17223,5.229432,6.737609,-1.289943,2.56119694567514e-10,1.02986163286775e-07,Promoter (<=1kb),6,16299112,16761456,462345,2,ENSG00000124788.19,ENST00000244769.8,0
119,chr15,34150616,34152457,1842,4.715006,2.150731,5.58758,-2.378979,2.58729785996726e-10,1.03161436016577e-07,Promoter (<=1kb),15,34141962,34153050,11089,2,ENSG00000134152.11,ENST00000561270.5,593
120,chr2,202032862,202036402,3541,7.443399,6.739171,7.914564,-1.066168,2.6559178638755903e-10,1.05014992337641e-07,Promoter (<=1kb),2,202033855,202038441,4587,1,ENSG00000155760.3,ENST00000286201.3,0
121,chr21,33024900,33026354,1455,6.575959,5.761608,7.093321,-1.173847,2.72278171923399e-10,1.06604626020486e-07,Promoter (<=1kb),21,33025935,33027049,1115,1,ENSG00000205927.5,ENST00000430860.1,0
122,chr11,65506000,65508585,2586,6.680616,5.772863,7.233471,-1.262189,2.74105639320927e-10,1.06604626020486e-07,Promoter (<=1kb),11,65506117,65506173,57,1,ENSG00000274072.1,ENST00000611300.1,0
123,chr17,3754498,3755649,1152,6.498518,5.650584,7.029008,-1.200494,3.15141706286684e-10,1.21567834795858e-07,Promoter (<=1kb),17,3751870,3754696,2827,2,ENSG00000083457.12,ENST00000572121.1,0
